id,title,artist,duration,duration_label,genre,uploadBatch,action,reason,extra_reasons,detail
PEGcOzDHTF4Va27Uz7eF,The Gold Standard - Extra History - Part 6,The History of Paper Money,602,10:02,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
nVwU5YBqJxLJKUGgDrIF,"I Was Not Ready for This | Bend (OR), United States🌟",Residence Inn Bend,132,2:12,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
wxP6xNwWA1D5hRlOBdtH,1',How to read an architectural scale where 3/32,123,2:03,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
5E2Sjr9qFcPhvITMVsw2,What Day Is It_ Skit,Brak from Cartoon Planet,76,1:16,Rock,,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
ANCXY7sJ0eDTdrHMHhJ3,Five Star Gourmet - Shop Talk,AndNowUKnow,71,1:11,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
BosVzofSeIv2LBKrDLNL,Kermit and Joey Say the Alphabet,Sesame Street,62,1:02,Rock,,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
hY8pMwUg3FMIMGWbeH2F,Public Star Party,Things To Do!,40,0:40,Rock,audioasis,delete,NON_MUSIC,,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song"
mj1uE5jg0xtxdiKStWQY,Great Wall: Quickest way down in cave,Tomb Raider 2,21,0:21,Rock,audioasis,delete,NON_MUSIC,ULTRA_SHORT,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song; Duration 0:21 (< 30s) — confirm it is not a real micro-song"
XyDdKDkEtDcU4LRhzydi,FINISHLINE album lyrics,PARISALEXA,4,0:04,Hip-Hop,audioasis,delete,NON_MUSIC,ULTRA_SHORT,"Title/artist looks like a guide, gameplay, tour, documentary, or other non-song; Duration 0:04 (< 30s) — confirm it is not a real micro-song"
VdLmnpdQx7PoKnpuOlS4,Juega (Teaser),Caribombo & Pahua,42,0:42,R&B & Soul,,delete,TEASER,,Title contains “teaser” and duration 0:42 (< 90s)
bqAOOt2UXUCHZYRZGNyn,This Timeless Turning,Sky Cries Mary,4129,1:08:49,Rock,audioasis,delete,VERY_LONG,,Duration 1:08:49 (≥ 20 min) and not an obvious DJ mix / continuous set
KJvFup82xlF7tV4rzJWk,Wet Lands,Source Of Labor,1451,24:11,Hip-Hop,,delete,VERY_LONG,,Duration 24:11 (≥ 20 min) and not an obvious DJ mix / continuous set
DqFokkCudaOVBFQwyFBz,Men And Their Work,ALL HITS,1266,21:06,Rock,audioasis,delete,VERY_LONG,,Duration 21:06 (≥ 20 min) and not an obvious DJ mix / continuous set
W5GRh8SeBA6lgWByspmB,TRUE-ISMS,Gifted Youngstaz and RA Scion,1202,20:02,Rock,audioasis,delete,VERY_LONG,,Duration 20:02 (≥ 20 min) and not an obvious DJ mix / continuous set
vAOvQlf56elJhKnWCEsS,Music Video,Aftermath,291,4:51,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
yjpXQw5uNRXiers3r4mQ,Feel Alive,Ryan Barber & The Riches Official Music Video,287,4:47,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
js7ysVlnpGWTHK75njx8,YouTube,Smoker Dad // Do Ya Want It (Official Music Video),275,4:35,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
0wVvPllGfvmlKaITu7Ib,Ana Lete,Footsteps [official music video],271,4:31,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
28e9HtmNpu7dlnWdlIQL,HeZza FeZza,Ancient Stars (prod. Gregory Stutzer) official music video,234,3:54,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
K9lAkC93sxE7enq9R5MK,Katie Kuffel,1999 Official Music Video,226,3:46,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
30I2ECtDLN1LbVIAOkSE,Champagne Honeybee,Once in a Lifetime OFFICIAL Music Video,221,3:41,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
XjDlg0TrRDwW4hCcxI9F,Tangerine,Nothing Better (Official Music Video),202,3:22,Rock,,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
iYbBaeBgf44PM4V35Z62,Field Trip,Galore.  (Official music video),164,2:44,Rock,,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
HZUzlnuczqRi7kPJ3YaX,Strawberry Fuzz,No Lighter (Official Video),123,2:03,Rock,audioasis,review,BROKEN_METADATA,,"Title/artist swapped or placeholder (YouTube / Official Music Video in the artist field) — fix metadata, do not delete if the audio is a real song"
gfPbUH7uP5dpQiazjlHK,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,286,4:46,Rock,,review,DUPLICATE,,Extra copy of the same title+artist (keep one)
cs77gklk0uPnGzWbqaV5,Sound & Color,Alabama Shakes,187,3:07,Rock,,review,DUPLICATE,,Extra copy of the same title+artist (keep one)
sTankDZ1UhAVc498XYXA,I'm In Love..(Justin Robertson's Deadstock 33S Remix),Unknown,554,9:14,Rock,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
KXPNmB0IoUtvswzYUaJq,Assembly (feat Maddy Fox),Unknown,295,4:55,Electronic,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
DjOenGlgMprzxgJGkz9r,'Go' feat. Jimmy James (Studio Session),Unknown,274,4:34,Rock,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
nzufGUol3G1pfLnK4LgJ,Love Is A Life That Lasts Forever (Feat. Molly Linen) (Official Visualiser),Unknown,270,4:30,Rock,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
S5pkjghdWaTZT8LPsArl,Mountains (ft. Clarissa Abadesco),Unknown,251,4:11,Hip-Hop,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
2R9cwG2uz0hW20vQtWxZ,'Heat Check' (Studio Session),Unknown,213,3:33,Rock,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
ejXeB6O50qJspQiPGZxu,Manticore,Unknown,204,3:24,Electronic,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
OTBVIoiquPqdZaQr52Pk,trust me,Unknown,199,3:19,Electronic,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
U4bcMnDtwNsSi0ijlVLh,"COME ON, LET'S GO",Unknown,108,1:48,Electronic,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
Mjin00XRnNevheF0N6Fm,GNX,Unknown,61,1:01,Electronic,,review,UNKNOWN_ARTIST,,Artist missing/Unknown — existing catalog:delete-unknown-artists would drop these; prefer fixing artist if it is a real cut
